id,title,artists,pp_artist,k16_cluster
222EeTTqS2qFVtPsGcMohi,With All The World,['Khruangbin'],Khruangbin,13
0YLLS0DWAwsWIOoiBMfkCE,Sisters & Brothers,['Khruangbin'],Khruangbin,13
0Q13VxbegrKHyPuLvkwwO5,Mary Always,['Khruangbin'],Khruangbin,14
2tBxmeOSizLwlJpHLFiSSF,Four of Five,['Khruangbin'],Khruangbin,13
07xfab9bcQVO3wVWFNm31w,How I Love,['Khruangbin'],Khruangbin,10
53qovejleyk55O1PQ6cs4L,Sunny’s Vision,['Khruangbin'],Khruangbin,14
0mzU6qEuvtPrL9UcXAVKKU,Little Joe & Mary,['Khruangbin'],Khruangbin,13
0oQESaqgT0BwhvNHQonTRc,Olympisk,['Ganger'],Ganger,2
7zQm9xiLMDsG61Cv8eI6xK,Kometen,['Ganger'],Ganger,5
0qD05OnEDUKfMs0Vi3kLmQ,(Don't Let The Dragon) Draag On,['King Krule'],King Krule,7
3YCiB91fQ6aGH3KkBEyriG,Planet B,['King Gizzard & The Lizard Wizard'],King Gizzard & The Lizard Wizard,5
28g36UySJI1jAevLxxjXU9,Mars For The Rich,['King Gizzard & The Lizard Wizard'],King Gizzard & The Lizard Wizard,9
43xYug1HMWU5KZroVqbjsw,Organ Farmer,['King Gizzard & The Lizard Wizard'],King Gizzard & The Lizard Wizard,5
0hSF9dyACqgzexLwubaR6x,Superbug,['King Gizzard & The Lizard Wizard'],King Gizzard & The Lizard Wizard,9
5cHyg8fya5MW9MhxLbQx6i,Stor Som En Sol / Flad Som En Pandekage,['The Minds Of 99'],The Minds Of 99,5
1QBfz0sWrMPrpvxjBPU5Jg,Hurtige Hænder,['The Minds Of 99'],The Minds Of 99,4
2lyuqYDVbRQDzAZ4VMPBsi,Friends (feat. Bon Iver),"['Francis and the Lights', 'Bon Iver']",Francis and the Lights / Bon Iver,6
2GnLhhzlKak1Q12b8jw25W,Flowers and You,['Touché Amoré'],Touché Amoré,3
1e8D1BCD2afT56Km7UahpB,Church,['Coldplay'],Coldplay,3
03T4ttRCiLXST6MZjeMwmR,Orphans,['Coldplay'],Coldplay,14
