,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.6734189884918219,0.7042431859479092,-7.261354784978809,0.06416262870987274,0.1604876800439129,0.02410964443519072,0.16237569654754658,0.6588847668079969,115.41071093276784
1,0.32458510638297866,0.3735227723404256,-15.457191489361708,0.08152553191489363,0.7387214255319148,0.43832699148936166,0.26766595744680843,0.22728723404255322,95.69393617021274
2,0.4255619953234595,0.8136581761496444,-5.785437724084189,0.07785482462977418,0.07349871270927505,0.0402022471332813,0.1940063600935307,0.4428705689789553,153.52623413873712
3,0.6709722222222223,0.7413343434343425,-8.95290202020202,0.058331515151515204,0.11626533946464644,0.7861414141414144,0.1477149999999999,0.6618626262626248,123.37726717171714
4,0.43396441038739825,0.3916989748829285,-11.648634738186477,0.052405023414218814,0.5350054234865892,0.11370432952320124,0.1766924648786717,0.352713963388676,125.18882120051082
5,0.6554507146638421,0.718915775542615,-6.762036421386965,0.07460385389094755,0.1402504461916354,0.02445501074536784,0.1675244679724722,0.5855973742721035,118.97978231868763
6,0.6422285898261414,0.7209504958145525,-6.8783938184159785,0.0616146297488732,0.14251923441081796,0.022168029365099803,0.16404073406310393,0.6164997166773986,113.50360296200923
7,0.5224482612055638,0.7529845887557963,-7.26042117465224,0.09297565687789813,0.18983867994976777,0.08217113152241118,0.7237426584234931,0.5187919629057193,121.77513987635241
8,0.5156133531157256,0.3287438191765569,-12.15984551186945,0.04903421735905038,0.6860461754636504,0.043171729471439324,0.15207631676557898,0.3642379265578643,110.1623590504449
9,0.356726474278544,0.12215380593893768,-22.801408615642,0.04749815976578851,0.9233404838979477,0.8151414562609804,0.13362300292764578,0.2185687160184021,104.58163028021723
10,0.6137622603019165,0.7014586519787851,-9.44023908608731,0.056405018359853114,0.11028142333741346,0.794202166462669,0.14523149734802115,0.23399963280293795,123.90136434108499
11,0.7127340751043131,0.6242067705146037,-7.621441168289283,0.35652461752433884,0.22211846155771914,0.011904225184979128,0.19686728789986074,0.5137736856745484,123.04363282336595
