id,k16_cluster
0wXuerDYiBnERgIpbb3JBR,0
3YxunxpAExKBEvhuf7wQOK,5
3rBOkpPCniY6AxOIavGGsg,7
0SunFlwqT44E0BU0yrgM7u,6
31tf1qEai5o5f4r66Kd0pU,1
3baESV24ilV6meyqLUh0WU,14
43jBqV3j3Xi1g6wO0bhIMd,2
52qH79XktzCUPkN0dlRbUs,0
28kwfhqP0K1f6ll0lpHg45,6
2DRMuw0U0QbkVQxWxdJV3M,3
2s0Dn2mtvp94wUkyaB8nJc,2
0hNduWmlWmEmuwEFcYvRu1,13
2PC9Tl8SWVO2yhDDtJcrAi,2
3TRFq09DUgYj1mug6RRqJW,5
0dXNQ8dckG4eYfEtq9zcva,4
3oXo5b276GoNWN3DODNIU1,6
3Ad7e4EdSpnjdLwHVucDyC,6
7HMpoLpRzfnX1zbhOQBFUw,2
4riDfclV7kPDT9D58FpmHd,6
0FZULbfjTHVmm1x3zZ2ghI,7
4NmWUWHsglLlJXvq1pGNsk,0
0hy48SusJtyhy4DNB2rEaS,6
0KKkJNfGyhkQ5aFogxQAPU,0
7fJozqj7NMdvo0zkcXDbgg,2
4aJtCSNlGhw3TgMqL7rbLu,3
1ZX8uNsvwzdDoszb0UCBnM,4
5w3CRkbTWXfbYepIdFpGUN,0
7JKdB79MjDgH9GE72AChkY,3
6HEIBHUirx1J0JkUD24szt,11
6hQSeh599ce59TGCd8Rn4X,11
0j2WBxWZnWti5TpSxjJvPb,7
6AT4y0b1kkJmY6rvicSMEw,1
4G9addS7Yq5ihZBQLXG2Mj,7
20dP2DaMHIAmwWAbp7peSr,3
5uCax9HTNlzGybIStD3vDh,7
4gmmRb6bZJffOOiww1JGTO,11
4Km5HrUvYTaSUfiSGPJeQR,11
15k2nBQJ0teDmPZHrOXL2N,3
1E43TJhKcM8hXgM958ROQ1,2
6pDVjCUA3B1vg9waKutAsv,7
0ifooM33X1iBxVYyOkSbXW,2
1vvNmPOiUuyCbgWmtc6yfm,2
2K9OuOMhtNGtbbqQhALv8i,3
1oGdVdYjeQvojGKDddxLQQ,11
7MXVkk9YMctZqd1Srtv4MB,11
37F0uwRSrdzkBiuj0D5UHI,6
4h90qkbnW1Qq6pBhoPvwko,3
1WkMMavIMc4JZ8cfMmxHkI,0
7yyRTcZmCiyzzJlNzGC9Ol,6
4F7A0DXBrmUAkp32uenhZt,5
0AS63m1wHv9n4VVRizK6Hc,3
6b8Be6ljOzmkOmFslEb23P,0
32lgtADX2cB9I4KFs1Y1py,3
5knuzwU65gJK7IF5yJsuaW,2
33cYcQm6naYAywTtdnrdxP,0
5o3GnrcFtvkdf3zFznuSbA,6
6fujklziTHa8uoM5OQSfIo,0
0KQxxHsCWjLsYluY5PefId,3
4B31QOL13iBeuIsaGD20BS,6
43tVqovviXhkmOV5LOkTn7,11
0yNecIrNLTIsF5ULCraPgl,11
0fAehaneUJdlSlWXYe1KZp,0
6JKoTnberZoBgUuxa6l4Kh,11
5BikEzeYYFtRvR1CL1UTRg,14
6mrRJpEOqNEKygu4fesH1e,11
1MqC1CyfmBiEgauT4sqhSE,10
76wXoUkBme6E5yPhXv6zfR,11
7y6EHdn8KFJUD2F6zWNWhZ,11
7lhkOb0VNnTlshwifCEoSr,0
1rW2nkUbmKD2MC22YrU8cX,11
49aTv96mDjvlDb74XvVSc9,11
2LbL1HaoZrXrCR538uxUjl,11
6plT7nFGiXKSBP9HFSI4ef,3
1gmu96SrVjbwnleHVNpiod,6
2rqUblDWJKlMVwh9uJc0Vv,11
4lKqLeuZN7EOp9IjFBuB60,5
6JvHYmanlC8FdbeiCztcrR,6
7msCKNrI0vZw9H4MIgLnAh,1
3QGsuHI8jO1Rx4JWLUh9jd,11
2MHCiOohBZEQuLgDTPvSzF,0
099NgYQditsnMhePFr61Fl,6
0wAbE8PmaALSdGEpfOuk6J,6
6YzO1Ndf7fbyPo4njTTAur,4
2YlWk2pdedpxI8sLNKJ5zY,11
2rizacJSyD9S1IQUxUxnsK,5
2zM1k4PnL573ayLHqpQaQN,11
2dDGwvUJFRNRgB6p4AQV50,14
19cVww3dRYFzVvslJu2NtL,3
6GG2tkV9PRYGN5rniXPFXZ,6
77dBKEJtA1KqAmAE6cn4zM,5
7isbPMomU1kbgaNKOFocGJ,6
4ckuS4Nj4FZ7i3Def3Br8W,6
0NTLc38M2fPfeA9nFnI8HJ,11
7Kqd2BlcjYzDjzYjrXXR3x,14
2x4myYXKCCJilThhh99Toq,3
7cNhrHKHu6nKTG3hAXI5gz,14
4jep6dMPP0z7HrN375InoL,10
0H0vPgfSGvt3g4X4Fnmr2N,7
1DiJsj5a4zBzWSUWdg2nTv,11
0R12GQVU6fmV9ibEvQyxyX,3
4culHtQRLg5h9ZuLayEQJZ,0
5mSJgLW43dmFEMK50ECr0S,0
3gY3fTkff4VmZ2XfvU6N4l,4
3IRloeDfPgi7bH5OwXfwkN,11
0TW3dlG3BaF2LNiDkUu10u,2
3waIbY3hXhTdlsOOffGgZw,3
2gbVPiWjuoZQncypktAwvK,6
22q7Tnt618vJpdhy67dtqV,11
67nH6uwF7F3C7PsZTUNHNH,3
7kUuvMv4yD9wcaBfX4AfMq,4
1WHo9vIO4O50xQHSycSNUm,6
6v6CUE4xyNK9OCodInFPro,11
39pS70eeDvyCAF3t8NAlVV,11
6ovZF5JLjcgm1J8exA3XrE,2
2cdbFYFzeCUL8Tx9yyc1nH,11
6f9McoXNKUTjh9PtmCAvMP,11
7zdNke86NJfiZnDiW1Y3XZ,5
3m62bJJXGyQKdR9XyRocnl,5
59e7E2LMPZ2bhW5G6aCwX8,11
73ZaCmh5nzvBzbhREnQvcB,11
4ISLRAqJbSgvkqRgiCaikS,3
0SGkqnVQo9KPytSri1H6cF,3
2igbKtoBMXdYgYPkCpl0V4,2
0j2T0R9dR9qdJYsB7ciXhf,2
3oy9CClx1zCGnhzse9AvDu,2
67T0J1IDGgRwNMp3vWYaVb,3
6bcnokzOVQxpn0quzHj6vc,2
2aQwdBWk4vSPWk1Csgtzdo,2
737gwrDNwTCAwAjy02FSMO,5
5viCJ7GSQxVWUAPBVoV7IL,2
3DaXXVRXK7sWRNEugMe7s6,4
6a90nkg7j6GRmq6LirQixa,11
1T5mVPJE6LilJ7f73L3UDo,3
5BSz8sJO2YmKfNVQG7fq2J,11
2oUuLLKS8WbF7ELJcwbqms,11
3iL2l5gUqyPS6vDwJFgJTR,11
2EzdHA4loLJLi2ofpLeLDb,4
22VdIZQfgXJea34mQxlt81,2
2kvgmr5CFhSvleQqTjB3eP,2
0jx8zY5JQsS4YEQcfkoc5C,11
76FZM38RC8XaAjJ77CVTNe,6
